problem,answer,operation,num_digits
608 * 152 = ,92416,mul,3
315 * 105 = ,33075,mul,3
890 * 178 = ,158420,mul,3
404 * 202 = ,81608,mul,3
909 / 101 = ,9,div,3
378 / 126 = ,3,div,3
432 / 144 = ,3,div,3
592 / 296 = ,2,div,3
505 / 101 = ,5,div,3
780 / 130 = ,6,div,3
548 / 274 = ,2,div,3
999 / 333 = ,3,div,3
420 / 105 = ,4,div,3
300 / 100 = ,3,div,3
218 / 109 = ,2,div,3
630 / 126 = ,5,div,3
824 / 412 = ,2,div,3
635 / 127 = ,5,div,3
4014 + 1338 = ,5352,add,4
7149 + 2383 = ,9532,add,4
5384 + 2692 = ,8076,add,4
8298 + 2766 = ,11064,add,4
3430 + 1715 = ,5145,add,4
6474 + 2158 = ,8632,add,4
9718 + 4859 = ,14577,add,4
4288 + 2144 = ,6432,add,4
8268 + 4134 = ,12402,add,4
5354 + 2677 = ,8031,add,4
6678 + 1113 = ,7791,add,4
9072 + 1008 = ,10080,add,4
6963 + 2321 = ,9284,add,4
5894 + 2947 = ,8841,add,4
6570 - 3285 = ,3285,sub,4
6635 - 1327 = ,5308,sub,4
9090 - 3030 = ,6060,sub,4
7700 - 1100 = ,6600,sub,4
7298 - 3649 = ,3649,sub,4
8985 - 1797 = ,7188,sub,4
6942 - 2314 = ,4628,sub,4
3270 - 1090 = ,2180,sub,4
8372 - 1196 = ,7176,sub,4
7149 - 2383 = ,4766,sub,4
5412 - 1353 = ,4059,sub,4
7599 - 2533 = ,5066,sub,4
2994 - 1497 = ,1497,sub,4
6828 - 2276 = ,4552,sub,4
9820 * 2455 = ,24108100,mul,4
4438 * 2219 = ,9847922,mul,4
9300 * 1550 = ,14415000,mul,4
8652 * 1236 = ,10693872,mul,4
9804 * 4902 = ,48059208,mul,4
8236 * 4118 = ,33915848,mul,4
5324 * 1331 = ,7086244,mul,4
7310 * 3655 = ,26718050,mul,4
6200 * 1550 = ,9610000,mul,4
4798 * 2399 = ,11510402,mul,4
9972 * 1108 = ,11048976,mul,4
5124 * 2562 = ,13127688,mul,4
6408 * 1602 = ,10265616,mul,4
7173 * 2391 = ,17150643,mul,4
9512 / 4756 = ,2,div,4
8502 / 4251 = ,2,div,4
7746 / 3873 = ,2,div,4
8512 / 1216 = ,7,div,4
3722 / 1861 = ,2,div,4
5828 / 1457 = ,4,div,4
7035 / 2345 = ,3,div,4
9732 / 4866 = ,2,div,4
3156 / 1578 = ,2,div,4
3342 / 1114 = ,3,div,4
6482 / 3241 = ,2,div,4
8478 / 1413 = ,6,div,4
9738 / 1082 = ,9,div,4
8090 / 1618 = ,5,div,4
